,cases
11/4/20,48233206
11/5/20,48829777
11/6/20,49474659
11/7/20,50071611
11/8/20,50555683
11/9/20,51057076
11/10/20,51616461
11/11/20,52265191
11/12/20,52914645
11/13/20,53566727
11/14/20,54161862
11/15/20,54635935
11/16/20,55170071
11/17/20,55781327
11/18/20,56408504
11/19/20,57062051
11/20/20,57730831
11/21/20,58318557
11/22/20,58806701
11/23/20,59331660
11/24/20,59921951
11/25/20,60558291
11/26/20,61140970
11/27/20,61827863
11/28/20,62414022
11/29/20,62902699
11/30/20,63411091
12/1/20,64023308
12/2/20,64675043
12/3/20,65369179
12/4/20,66052314
12/5/20,66694746
12/6/20,67233741
12/7/20,67753311
12/8/20,68396799
12/9/20,69066819
12/10/20,70564945
12/11/20,71269554
12/12/20,71904616
12/13/20,72435722
12/14/20,72960602
12/15/20,73596794
12/16/20,74330464
12/17/20,75070221
12/18/20,75790546
12/19/20,76401995
12/20/20,76935664
12/21/20,77484615
12/22/20,78134972
12/23/20,78830100
12/24/20,79496691
12/25/20,79962475
12/26/20,80475205
12/27/20,80913868
12/28/20,81409709
12/29/20,82074293
12/30/20,82835540
12/31/20,83560482
1/1/21,84093788
1/2/21,84720299
1/3/21,85253202
1/4/21,85807043
1/5/21,86547096
1/6/21,87330661
1/7/21,88211545
1/8/21,89014809
1/9/21,89776075
1/10/21,90365376
1/11/21,90984976
1/12/21,91690531
1/13/21,92438858
1/14/21,93194145
1/15/21,93961381
1/16/21,94600703
1/17/21,95130064
1/18/21,95645312
1/19/21,96253248
1/20/21,96946210
1/21/21,97602571
1/22/21,98261639
1/23/21,98829909
1/24/21,99275699
1/25/21,99772747
1/26/21,100329071
1/27/21,100927448
1/28/21,101541893
1/29/21,102132381
1/30/21,102647858
1/31/21,103029652
2/1/21,103476199
2/2/21,103934126
2/3/21,104456157
2/4/21,104923095
2/5/21,105458548
2/6/21,105830862
2/7/21,106229038
2/8/21,106545054
2/9/21,106972720
2/10/21,107408534
2/11/21,107850003
2/12/21,108278724
2/13/21,108652122
2/14/21,108946086
2/15/21,109229345
2/16/21,109580144
2/17/21,109975720
2/18/21,110379223
2/19/21,110791727
2/20/21,111162265
2/21/21,111476792
2/22/21,111765161
2/23/21,112154029
2/24/21,112598969
2/25/21,113046460
2/26/21,113489486
2/27/21,113878785
2/28/21,114182356
3/1/21,114488090
3/2/21,114798408
3/3/21,115239558
3/4/21,115692613
3/5/21,116139645
3/6/21,116550222
3/7/21,116918602
3/8/21,117217208
3/9/21,117631885
3/10/21,118098952
3/11/21,118575835
3/12/21,119065151
3/13/21,119519364
3/14/21,119879810
